Date,Price,Open,High,Low,Change %
7/30/2019,1.1155,1.1144,1.1162,1.1132,0.09%
7/29/2019,1.1144,1.1127,1.1151,1.1113,0.16%
7/26/2019,1.1127,1.1147,1.1151,1.1112,-0.18%
7/25/2019,1.1147,1.1141,1.1188,1.1101,0.05%
7/24/2019,1.1141,1.1152,1.1159,1.1127,-0.11%
7/23/2019,1.1153,1.121,1.1211,1.1145,-0.51%
7/22/2019,1.121,1.1218,1.1226,1.1206,-0.11%
7/19/2019,1.1222,1.1277,1.1283,1.1203,-0.49%
7/18/2019,1.1277,1.1224,1.1281,1.1205,0.47%
7/17/2019,1.1224,1.1211,1.1235,1.12,0.12%
7/16/2019,1.1211,1.1257,1.1264,1.1201,-0.42%
7/15/2019,1.1258,1.1269,1.1285,1.1252,-0.12%
7/12/2019,1.1271,1.1254,1.1276,1.1237,0.15%
7/11/2019,1.1254,1.1251,1.1286,1.1244,0.03%
7/10/2019,1.1251,1.1208,1.1264,1.1201,0.38%
7/9/2019,1.1208,1.1215,1.122,1.1193,-0.06%
7/8/2019,1.1214,1.1223,1.1235,1.1207,-0.10%
7/5/2019,1.1226,1.1285,1.1288,1.1207,-0.52%
7/4/2019,1.1285,1.1278,1.1296,1.1272,0.06%
7/3/2019,1.1278,1.1285,1.1312,1.1268,-0.06%
7/2/2019,1.1285,1.1286,1.1321,1.1274,0.00%
7/1/2019,1.1286,1.1376,1.1376,1.128,-0.74%
6/28/2019,1.137,1.1371,1.1395,1.1351,0.00%
6/27/2019,1.137,1.1369,1.1383,1.1348,0.01%
6/26/2019,1.1369,1.1365,1.1392,1.1347,0.02%
6/25/2019,1.1367,1.14,1.1414,1.1344,-0.27%
6/24/2019,1.1398,1.1361,1.1405,1.1361,0.26%
6/21/2019,1.1368,1.1292,1.1379,1.1283,0.67%
6/20/2019,1.1292,1.1225,1.1318,1.1225,0.59%
6/19/2019,1.1226,1.1193,1.1254,1.1187,0.29%
6/18/2019,1.1193,1.1219,1.1244,1.1181,-0.22%
6/17/2019,1.1218,1.1215,1.1247,1.1203,0.08%
6/14/2019,1.1209,1.1282,1.1291,1.1202,-0.60%
6/13/2019,1.1277,1.1287,1.1305,1.1268,-0.11%
6/12/2019,1.1289,1.1326,1.1345,1.1282,-0.38%
6/11/2019,1.1332,1.1313,1.134,1.1302,0.15%
6/10/2019,1.1315,1.1324,1.1333,1.1291,-0.16%
6/7/2019,1.1333,1.1276,1.1349,1.1251,0.51%
6/6/2019,1.1276,1.1229,1.131,1.1214,0.49%
6/5/2019,1.1221,1.1251,1.1308,1.1219,-0.28%
6/4/2019,1.1252,1.1241,1.1278,1.1226,0.10%
6/3/2019,1.1241,1.1168,1.1263,1.1155,0.64%
5/31/2019,1.1169,1.1134,1.1181,1.1125,0.34%
5/30/2019,1.1131,1.113,1.1144,1.1115,0.00%
5/29/2019,1.1131,1.1162,1.1175,1.1124,-0.26%
5/28/2019,1.116,1.1198,1.1202,1.1158,-0.35%
5/27/2019,1.1199,1.1197,1.1218,1.1186,-0.04%
5/24/2019,1.1204,1.1183,1.1215,1.1175,0.21%
5/23/2019,1.118,1.115,1.1187,1.1106,0.24%
5/22/2019,1.1153,1.1166,1.118,1.1145,-0.06%
5/21/2019,1.116,1.1171,1.1189,1.1142,-0.10%
5/20/2019,1.1171,1.1158,1.1177,1.1148,0.12%
5/17/2019,1.1158,1.1176,1.1186,1.1155,-0.14%
5/16/2019,1.1174,1.1202,1.1227,1.1166,-0.25%
5/15/2019,1.1202,1.1205,1.1226,1.1177,-0.02%
5/14/2019,1.1204,1.1224,1.1247,1.12,-0.18%
5/13/2019,1.1224,1.1241,1.1266,1.1221,-0.10%
5/10/2019,1.1235,1.1215,1.1255,1.1214,0.12%
5/9/2019,1.1222,1.1194,1.1254,1.1174,0.27%
5/8/2019,1.1192,1.1189,1.1215,1.1181,0.01%
5/7/2019,1.1191,1.1198,1.1222,1.1165,-0.08%
5/6/2019,1.12,1.1173,1.1212,1.116,-0.02%
5/3/2019,1.1202,1.1178,1.1208,1.1135,0.21%
5/2/2019,1.1179,1.1202,1.1221,1.1172,-0.15%
5/1/2019,1.1196,1.1215,1.1267,1.1188,-0.19%
